"DOC_CASE_NUMBER","SOURCEIDFULL","AGENCY","DOC_DTG","State","bigram","DOC_FORM_TYPE","DOC_OFFICE_LOCATION","COUNTRY","Unique_Cases"
85303,35568,"USSS",2016-01-02,"WI","jennings's persuasion","","","",2
49027,346719,"IRS",2016-01-02,"KS",NA,"","","",NA
21934,321448,"FBI",2016-01-02,"AZ",NA,"","","",NA
11204,458159,"ICE",2016-01-02,"MI","one's friends","","","",3
93361,133912,"FBI",2016-01-02,"VT","deserted nursery","","","",1
116465,293682,"IRS",2016-01-02,"MA","frank churchill","","","",142
116465,293682,"IRS",2016-01-02,"MA","low stone","","","",1
124968,439875,"DOL",2016-01-02,"NM","linen plate","","","",1
124968,439875,"DOL",2016-01-02,"NM","fortune heir","","","",1
107953,108148,"USSS",2016-01-02,"IN","public discovery","","","",1
107953,108148,"USSS",2016-01-02,"IN","steady sobriety","","","",1
107953,108148,"USSS",2016-01-02,"IN","altogether sufficiently","","","",1
107953,108148,"USSS",2016-01-02,"IN","anxiously giving","","","",1
3722,174478,"IRS",2016-01-02,"AL","prudence forbade","","","",1
96162,465648,"ATF",2016-01-02,"WI","pleasing intelligence","","","",3
96162,465648,"ATF",2016-01-02,"WI","sir thomas","","","",312
138137,437334,"DEA",2016-01-02,"MI",NA,"","","",NA
63432,497012,"ICE",2016-01-02,"MD","attentive elinor","","","",1
63432,497012,"ICE",2016-01-02,"MD","melancholy poor","","","",1
3404,97969,"FBI",2016-01-02,"WA","drink tea","","","",7
3404,97969,"FBI",2016-01-02,"WA","quarters lady","","","",1
7347,121370,"USPIS",2016-01-02,"LA",NA,"","","",NA
107080,410493,"ATF",2016-01-02,"VA","sitting nicely","","","",1
106332,358988,"ATF",2016-01-02,"OH","gretna green","","","",3
106332,358988,"ATF",2016-01-02,"OH","winter engagements","","","",3
95092,232717,"USSS",2016-01-02,"HI",NA,"","","",NA
129571,42294,"DOL",2016-01-02,"VT",NA,"","","",NA
137327,3814,"IRS",2016-01-02,"GA",NA,"","","",NA
131880,201568,"IRS",2016-01-02,"AR",NA,"","","",NA
59640,409178,"IRS",2016-01-02,"MA","impartial consideration","","","",2
59640,409178,"IRS",2016-01-02,"MA","tremulous voice","","","",2
59640,409178,"IRS",2016-01-02,"MA","sir walter","","","",121
65605,395496,"FBI",2016-01-02,"MD","meaning civil","","","",1
113874,356797,"FBI",2016-01-02,"NM","anne smiled","","","",3
113874,356797,"FBI",2016-01-02,"NM","immediately resist","","","",1
115251,361606,"IRS",2016-01-02,"ID",NA,"","","",NA
25495,190305,"FBI",2016-01-02,"UT","prodigious bargain","","","",1
142953,78366,"IRS",2016-01-02,"DE","agreeable person","","","",1
48492,256975,"ICE",2016-01-02,"ME","chapter 47","","","",2
48492,256975,"ICE",2016-01-02,"ME","means rank","","","",1
111671,372314,"IRS",2016-01-02,"IA",NA,"","","",NA
122493,144422,"IRS",2016-01-02,"CA","additional anguish","","","",1
122493,144422,"IRS",2016-01-02,"CA","general's unjust","","","",1
120427,313169,"ICE",2016-01-02,"WA","jane jane","","","",3
126395,168790,"ATF",2016-01-02,"NE","mother's expected","","","",1
1605,199507,"FBI",2016-01-02,"CA","miss crawford","","","",234
142042,212005,"IRS",2016-01-02,"NC",NA,"","","",NA
131439,360211,"DEA",2016-01-02,"DE","true beauty","","","",1
67492,26158,"FBI",2016-01-02,"NE","agreeably engaged","","","",2
67492,26158,"FBI",2016-01-02,"NE","terrific scenes","","","",2
129797,157214,"USSS",2016-01-02,"GA","west indies","","","",8
64125,282713,"USPIS",2016-01-02,"KS","46 elizabeth","","","",NA
112532,305733,"FBI",2016-01-02,"NY",NA,"","","",NA
62855,78499,"USPIS",2016-01-02,"PA",NA,"","","",NA
71486,432417,"DEA",2016-01-02,"SC",NA,"","","",NA
29393,407986,"ICE",2016-01-02,"AL",NA,"","","",NA
147887,332775,"FBI",2016-01-02,"SD",NA,"","","",NA
56257,111219,"FBI",2016-01-02,"UT","ill consequences","","","",3
134467,308076,"IRS",2016-01-02,"MO","hills rose","","","",1
34800,239332,"USSS",2016-01-02,"NY","thoughtful air","","","",1
34800,239332,"USSS",2016-01-02,"NY","undeservedly honoured","","","",1
89495,377471,"ICE",2016-01-02,"MA","acquaintance abominably","","","",1
89495,377471,"ICE",2016-01-02,"MA","miss smith's","","","",7
128425,183869,"FBI",2016-01-02,"SD","perry called","","","",1
110682,6914,"USSS",2016-01-02,"NJ","unbroken unalloyed","","","",1
135413,428964,"DEA",2016-01-02,"NM","ten days","","","",21
47499,271109,"FBI",2016-01-02,"PA",NA,"","","",NA
30046,485088,"DEA",2016-01-02,"RI","dear sister","","","",22
81893,164364,"ICE",2016-01-02,"MN",NA,"","","",NA
23624,244805,"ICE",2016-01-02,"MD","learn replied","","","",1
17867,138501,"ATF",2016-01-02,"AZ",NA,"","","",NA
104343,402716,"DEA",2016-01-02,"KS","captain wentworth","","","",185
104343,402716,"DEA",2016-01-02,"KS","thousand poetical","","","",1
93096,93576,"DOL",2016-01-02,"AK",NA,"","","",NA
14618,466637,"DEA",2016-01-02,"HI",NA,"","","",NA
64810,379954,"ICE",2016-01-02,"MT",NA,"","","",NA
13480,375417,"FBI",2016-01-02,"VA",NA,"","","",NA
50580,48755,"IRS",2016-01-02,"OR",NA,"","","",NA
32537,229542,"DOL",2016-01-02,"WI","captain wentworth's","","","",29
75603,50423,"USSS",2016-01-02,"NH","heartily rejoice","","","",2
58784,91968,"USSS",2016-01-02,"SC","horses arrived","","","",1
58784,91968,"USSS",2016-01-02,"SC","captain benwick","","","",59
90125,411170,"DOL",2016-01-02,"MO","daughter replied","","","",1
90125,411170,"DOL",2016-01-02,"MO","hand anne","","","",1
64979,394563,"ATF",2016-01-02,"OR","affectionate smile","","","",3
108824,183971,"USSS",2016-01-02,"SD","fancy difficulties","","","",1
137335,343660,"USSS",2016-01-02,"NE",NA,"","","",NA
59710,228644,"USSS",2016-01-02,"WY","body's feelings","","","",1
59710,228644,"USSS",2016-01-02,"WY","damp path","","","",1
147951,425394,"FBI",2016-01-02,"NV",NA,"","","",NA
53323,104747,"ICE",2016-01-02,"UT",NA,"","","",NA
98515,291894,"DOL",2016-01-02,"ND",NA,"","","",NA
48373,407467,"DOL",2016-01-02,"TN","fine dinner","","","",2
48373,407467,"DOL",2016-01-02,"TN","miles round","","","",4
107350,31161,"DOL",2016-01-02,"RI","ascent heedless","","","",1
140520,65238,"ATF",2016-01-02,"ID","woeful change","","","",2
148860,114677,"USSS",2016-01-02,"NH",NA,"","","",NA
37538,226609,"DEA",2016-01-02,"IN",NA,"","","",NA
118509,47170,"USPIS",2016-01-02,"LA",NA,"","","",NA
139891,165108,"IRS",2016-01-02,"SC","sir thomas","","","",312
139891,165108,"IRS",2016-01-02,"SC","lady russell","","","",132
132274,85237,"USSS",2016-01-02,"UT","opinion varying","","","",1
14828,208247,"DOL",2016-01-02,"NJ",NA,"","","",NA
6314,120043,"FBI",2016-01-02,"FL","sanguine spirit","","","",1
6314,120043,"FBI",2016-01-02,"FL","catherine start","","","",1
66739,87121,"DOL",2016-01-02,"MN",NA,"","","",NA
108005,426688,"ATF",2016-01-02,"HI",NA,"","","",NA
70016,32689,"DOL",2016-01-02,"MO","determined solitude","","","",1
70016,32689,"DOL",2016-01-02,"MO","yates assured","","","",1
123711,361165,"IRS",2016-01-02,"OH","lines crowded","","","",1
112931,16672,"USSS",2016-01-02,"MN","increased considerably","","","",1
112931,16672,"USSS",2016-01-02,"MN","churchill examining","","","",1
46388,133452,"USPIS",2016-01-02,"IA","welcomed encouraged","","","",1
46388,133452,"USPIS",2016-01-02,"IA","begin admiring","","","",1
46388,133452,"USPIS",2016-01-02,"IA","complete suspense","","","",1
47714,10356,"ICE",2016-01-02,"AL","lovely appeared","","","",1
47714,10356,"ICE",2016-01-02,"AL","crawfords safe","","","",1
47714,10356,"ICE",2016-01-02,"AL","world's law","","","",1
100275,79812,"ATF",2016-01-02,"UT","sir john","","","",108
100275,79812,"ATF",2016-01-02,"UT","reproach equally","","","",2
110630,134384,"FBI",2016-01-02,"NH","heavenly style","","","",2
110630,134384,"FBI",2016-01-02,"NH","catherine's invitation","","","",2
54284,434342,"ATF",2016-01-02,"ID",NA,"","","",NA
130009,120483,"DOL",2016-01-02,"GA",NA,"","","",NA
52361,248720,"DEA",2016-01-02,"IL",NA,"","","",NA
128125,88591,"USPIS",2016-01-02,"ME","letter written","","","",1
14793,146076,"USSS",2016-01-02,"AZ","secretly forming","","","",1
97344,229201,"ICE",2016-01-02,"AR","laurel hedge","","","",1
26864,81616,"DOL",2016-01-02,"DE",NA,"","","",NA
121272,250697,"DOL",2016-01-02,"NY","sir thomas","","","",312
121272,250697,"DOL",2016-01-02,"NY","comfort edmund","","","",2
121272,250697,"DOL",2016-01-02,"NY","morland's company","","","",2
36285,90594,"USPIS",2016-01-02,"KY",NA,"","","",NA
107193,476277,"USPIS",2016-01-02,"ID","lamps silver","","","",1
124020,425964,"USSS",2016-01-02,"IL","time appointed","","","",1
124020,425964,"USSS",2016-01-02,"IL","sorrow accompanying","","","",1
31176,460780,"FBI",2016-01-02,"SD","jane's age","","","",1
31176,460780,"FBI",2016-01-02,"SD","respect objectionable","","","",1
31176,460780,"FBI",2016-01-02,"SD","comfortable feeling","","","",1
117710,279432,"ICE",2016-01-02,"WV","lady bertram","","","",124
43393,127838,"IRS",2016-01-02,"AL",NA,"","","",NA
109291,336459,"DEA",2016-01-02,"FL","elizabeth looked","","","",7
109291,336459,"DEA",2016-01-02,"FL","dr grant's","","","",6
109291,336459,"DEA",2016-01-02,"FL","son laughing","","","",1
109291,336459,"DEA",2016-01-02,"FL","quiet cheerfulness","","","",3
104384,321959,"FBI",2016-01-02,"ND","fanny proceeded","","","",1
80799,191058,"USSS",2016-01-02,"NY",NA,"","","",NA
145730,275401,"DEA",2016-01-02,"SD",NA,"","","",NA
17909,383574,"DEA",2016-01-02,"MT","cheerful selfishness","","","",1
71369,383074,"DEA",2016-01-02,"NV","agreeable manner","","","",4
128767,4529,"USPIS",2016-01-02,"TN",NA,"","","",NA
7153,420046,"USSS",2016-01-02,"WV","sir john","","","",108
7153,420046,"USSS",2016-01-02,"WV","cold determined","","","",1
7153,420046,"USSS",2016-01-02,"WV","_very_ disengaged","","","",NA
7153,420046,"USSS",2016-01-02,"WV","clay's quitting","","","",1
122107,173758,"IRS",2016-01-02,"ME",NA,"","","",NA
32161,385781,"USSS",2016-01-02,"CO",NA,"","","",NA
67133,392841,"ATF",2016-01-02,"IL",NA,"","","",NA
13118,82573,"DOL",2016-01-02,"NY","parent's care","","","",2
13118,82573,"DOL",2016-01-02,"NY","fine mornings","","","",3
54551,21205,"ATF",2016-01-02,"DE","immediately accosted","","","",1
40591,26529,"DOL",2016-01-02,"MA",NA,"","","",NA
42107,263361,"USPIS",2016-01-02,"SC","spoke cheerfully","","","",3
119219,101191,"FBI",2016-01-02,"WV",NA,"","","",NA
8483,468937,"FBI",2016-01-02,"KY",NA,"","","",NA
1382,260368,"USPIS",2016-01-02,"KY","jane fairfax","","","",108
139283,156650,"DEA",2016-01-02,"WY",NA,"","","",NA
15696,493427,"ICE",2016-01-02,"MD","elizabeth agitated","","","",1
25167,109297,"ICE",2016-01-02,"KY",NA,"","","",NA
8728,472178,"DEA",2016-01-02,"NY",NA,"","","",NA
144448,143873,"DOL",2016-01-02,"NH",NA,"","","",NA
97891,116002,"USSS",2016-01-03,"WY","infinitely worse","","","",4
120491,10111,"USSS",2016-01-03,"NC","beauty thinking","","","",2
111154,154648,"ATF",2016-01-03,"IL",NA,"","","",NA
48625,243169,"USPIS",2016-01-03,"CO","pounds belonging","","","",1
48625,243169,"USPIS",2016-01-03,"CO","aunt bertram","","","",16
48625,243169,"USPIS",2016-01-03,"CO","brother dances","","","",1
18398,130216,"IRS",2016-01-03,"WY","jennings ceased","","","",1
18398,130216,"IRS",2016-01-03,"WY","scantily furnished","","","",1
18398,130216,"IRS",2016-01-03,"WY","morrow's post","","","",1
10665,75218,"DEA",2016-01-03,"NM",NA,"","","",NA
114784,127546,"USPIS",2016-01-03,"NY",NA,"","","",NA
31666,447360,"DEA",2016-01-03,"UT",NA,"","","",NA
119446,496677,"DEA",2016-01-03,"ND","return thither","","","",1
119446,496677,"DEA",2016-01-03,"ND","miss fairfax","","","",118
114238,30353,"DEA",2016-01-03,"AL","gentleman's hints","","","",1
52591,179925,"FBI",2016-01-03,"MN","jennings left","","","",2
52591,179925,"FBI",2016-01-03,"MN","poor edward","","","",11
52591,179925,"FBI",2016-01-03,"MN","friend's marrying","","","",1
52591,179925,"FBI",2016-01-03,"MN","bertram's hour","","","",1
52591,179925,"FBI",2016-01-03,"MN","inconsiderable house","","","",1
52591,179925,"FBI",2016-01-03,"MN","folding doors","","","",6
15927,106973,"IRS",2016-01-03,"RI","comfortable home","","","",5
76885,361058,"USSS",2016-01-03,"CT",NA,"","","",NA
10673,278150,"DOL",2016-01-03,"MA","willoughby's constancy","","","",2
10673,278150,"DOL",2016-01-03,"MA","yesterday evening","","","",3
56520,347624,"USSS",2016-01-03,"LA","fanny's rides","","","",1
81732,5998,"ATF",2016-01-03,"AR","thomas's grave","","","",1
140214,250914,"DOL",2016-01-03,"DE","future improvement","","","",2
140214,250914,"DOL",2016-01-03,"DE","morland's promise","","","",1
145772,381148,"DOL",2016-01-03,"NC",NA,"","","",NA
108237,380815,"ATF",2016-01-03,"TX","lucky marrying","","","",1
108237,380815,"ATF",2016-01-03,"TX","increasing despondency","","","",1
66289,208475,"FBI",2016-01-03,"MT","leave barton","","","",1
129101,203787,"IRS",2016-01-03,"GA",NA,"","","",NA
146249,471328,"DOL",2016-01-03,"NC","hope _my_","","","",1
146249,471328,"DOL",2016-01-03,"NC","people's happiness","","","",2
146249,471328,"DOL",2016-01-03,"NC","friend slowly","","","",1
145240,162024,"DOL",2016-01-03,"SD","modestly presuming","","","",1
145240,162024,"DOL",2016-01-03,"SD","heart leaped","","","",1
67976,386256,"ATF",2016-01-03,"AK",NA,"","","",NA
20409,285548,"IRS",2016-01-03,"PA",NA,"","","",NA
1753,431546,"IRS",2016-01-03,"NJ","dearest elinor","","","",1
128100,394961,"ATF",2016-01-03,"AR",NA,"","","",NA
26208,234038,"DEA",2016-01-03,"SC",NA,"","","",NA
134643,224623,"FBI",2016-01-03,"AL","doleful voice","","","",1
58794,423431,"ICE",2016-01-03,"NJ",NA,"","","",NA
109044,430274,"USSS",2016-01-03,"SC",NA,"","","",NA
144005,496391,"ATF",2016-01-03,"RI","admitting captain","","","",1
119085,350101,"USPIS",2016-01-03,"AL","till dinner","","","",4
119085,350101,"USPIS",2016-01-03,"AL","miss taylor","","","",44
119085,350101,"USPIS",2016-01-03,"AL","elizabeth's sake","","","",2
14968,282716,"DEA",2016-01-03,"OK","outward door","","","",2
85168,100138,"IRS",2016-01-03,"IL","happily passed","","","",2
86528,72069,"FBI",2016-01-03,"RI",NA,"","","",NA
126582,59180,"USPIS",2016-01-03,"PA","happiness instantly","","","",1
76009,414346,"ICE",2016-01-03,"AZ","easily guided","","","",1
76009,414346,"ICE",2016-01-03,"AZ","decided negative","","","",3
76009,414346,"ICE",2016-01-03,"AZ","dinner emma","","","",2
17067,15885,"USSS",2016-01-03,"OK","mother's invitation","","","",3
105550,34274,"USSS",2016-01-03,"VA","finished fanny","","","",1
105550,34274,"USSS",2016-01-03,"VA","apparent reason","","","",1
105550,34274,"USSS",2016-01-03,"VA","persuasion ah","","","",1
104625,377928,"USPIS",2016-01-03,"NY","evening chapter","","","",4
129107,408116,"IRS",2016-01-03,"NE","connivance june","","","",2
7387,252558,"ATF",2016-01-03,"KS","people meeting","","","",2
7387,252558,"ATF",2016-01-03,"KS","returned captain","","","",2
27779,409126,"ATF",2016-01-03,"MN","morton's style","","","",1
121657,89887,"DEA",2016-01-03,"SC","exclusively addressed","","","",3
138470,224177,"IRS",2016-01-03,"NC","idle observations","","","",2
138470,224177,"IRS",2016-01-03,"NC","miss hayters","","","",2
121645,414773,"ICE",2016-01-03,"VA","st clement's","","","",1
121645,414773,"ICE",2016-01-03,"VA","lizzy's hair","","","",1
70061,56281,"USSS",2016-01-03,"WI","bertram suppose","","","",1
86588,440970,"DOL",2016-01-03,"OR","previous alarm","","","",1
86588,440970,"DOL",2016-01-03,"OR","thornberry park","","","",1
4416,64453,"ICE",2016-01-03,"MN",NA,"","","",NA
78892,366133,"DEA",2016-01-03,"NJ","bingley's eyes","","","",1
78892,366133,"DEA",2016-01-03,"NJ","hear jane","","","",1
148008,261818,"USPIS",2016-01-03,"ME","real truth","","","",4
27608,423951,"ATF",2016-01-03,"RI","involuntarily shook","","","",1
132400,321777,"FBI",2016-01-03,"IL",NA,"","","",NA
75710,47576,"USSS",2016-01-03,"UT",NA,"","","",NA
13584,340448,"DOL",2016-01-03,"NJ","curtain fell","","","",1
3775,300027,"DOL",2016-01-03,"WI","sir walter","","","",121
115522,61310,"USPIS",2016-01-03,"ND","widower father","","","",1
70077,79322,"ATF",2016-01-03,"KY",NA,"","","",NA
64550,238705,"DEA",2016-01-03,"WY","lucy steele","","","",10
64550,238705,"DEA",2016-01-03,"WY","decent society","","","",1
98964,302598,"USPIS",2016-01-03,"MN",NA,"","","",NA
79042,5557,"USSS",2016-01-03,"OR",NA,"","","",NA
53156,288190,"IRS",2016-01-03,"KS","severe camp","","","",1
53156,288190,"IRS",2016-01-03,"KS","sir walter","","","",121
83207,103133,"USSS",2016-01-03,"WA","genuine satisfaction","","","",4
83207,103133,"USSS",2016-01-03,"WA","including church","","","",1
18787,334025,"USPIS",2016-01-03,"CT",NA,"","","",NA
96361,424505,"ICE",2016-01-03,"MS","bertrams pray","","","",1
96361,424505,"ICE",2016-01-03,"MS","parent living","","","",1
44971,444875,"ICE",2016-01-03,"DE","stationer's shop","","","",1
44971,444875,"ICE",2016-01-03,"DE","lady's imagination","","","",1
81938,217483,"FBI",2016-01-03,"DE",NA,"","","",NA
25658,52130,"FBI",2016-01-03,"MD",NA,"","","",NA
41220,76965,"ATF",2016-01-03,"FL",NA,"","","",NA
145353,442590,"ICE",2016-01-03,"ID","brother heaven","","","",1
145353,442590,"ICE",2016-01-03,"ID","children's enjoyment","","","",1
145353,442590,"ICE",2016-01-03,"ID","parlour door","","","",5
135739,76872,"DOL",2016-01-03,"IL","ten miles","","","",15
92032,389553,"ATF",2016-01-03,"NC","hey isabella's","","","",2
74460,44209,"USSS",2016-01-03,"AL","steps fanny","","","",1
142807,279972,"DOL",2016-01-03,"CT","lady russell","","","",132
148138,87580,"USPIS",2016-01-03,"CA","fairfax's eye","","","",1
136565,421900,"USPIS",2016-01-03,"SC",NA,"","","",NA
121350,292347,"IRS",2016-01-03,"TN","goodhumoured playfulness","","","",1
88775,415206,"ATF",2016-01-03,"MD","word perry","","","",1
136001,467419,"DEA",2016-01-03,"GA","thomas set","","","",2
136001,467419,"DEA",2016-01-03,"GA","person elegant","","","",2
37463,216050,"DOL",2016-01-03,"MA","morrow fortnight","","","",1
37463,216050,"DOL",2016-01-03,"MA","thorpe smiling","","","",1
37463,216050,"DOL",2016-01-03,"MA","irresistible charles","","","",1
90199,79064,"USSS",2016-01-03,"AZ","rest fortune","","","",1
104459,385173,"FBI",2016-01-03,"AR",NA,"","","",NA
81021,82407,"USPIS",2016-01-03,"TN",NA,"","","",NA
34545,106606,"ICE",2016-01-03,"IN",NA,"","","",NA
20583,60786,"ATF",2016-01-03,"IN","recent illness","","","",2
70266,325280,"FBI",2016-01-03,"MD",NA,"","","",NA
24239,440544,"USPIS",2016-01-03,"TX","miss bates","","","",113
24239,440544,"USPIS",2016-01-03,"TX","delicious consciousness","","","",1
139867,14914,"USPIS",2016-01-03,"AZ","captain benwick","","","",59
37850,222497,"ICE",2016-01-03,"IN","recently improved","","","",1
41641,427259,"DEA",2016-01-03,"LA",NA,"","","",NA
90714,285974,"DEA",2016-01-03,"FL","action visions","","","",1
59172,453515,"ATF",2016-01-03,"KY","colonel brandon's","","","",27
59172,453515,"ATF",2016-01-03,"KY","lady dalrymple","","","",25
35645,123733,"DEA",2016-01-03,"WY",NA,"","","",NA
55376,110846,"USSS",2016-01-03,"TN","feelings lydia","","","",1
55376,110846,"USSS",2016-01-03,"TN","sir addressing","","","",1
99917,214228,"DOL",2016-01-03,"AL","joyful consent","","","",3
48656,133697,"ICE",2016-01-03,"IA","dr grant","","","",49
116951,248984,"ATF",2016-01-03,"KY","chapter 20","","","",4
116951,248984,"ATF",2016-01-03,"KY","aunt phillips","","","",4
116951,248984,"ATF",2016-01-03,"KY","immediately stopped","","","",1
80823,232678,"FBI",2016-01-03,"CO",NA,"","","",NA
103814,363866,"ATF",2016-01-03,"SD","reproach exerted","","","",1
103814,363866,"ATF",2016-01-03,"SD","catherine's refusal","","","",1
103814,363866,"ATF",2016-01-03,"SD","harvilles silenced","","","",1
90794,366522,"DEA",2016-01-03,"IA",NA,"","","",NA
24463,348504,"DOL",2016-01-03,"CO","miss taylor's","","","",8
24463,348504,"DOL",2016-01-03,"CO","pray pass","","","",1
22360,487504,"ATF",2016-01-03,"ID",NA,"","","",NA
47651,263127,"USSS",2016-01-03,"AR","marianne listened","","","",1
47651,263127,"USSS",2016-01-03,"AR","emma playfully","","","",1
47651,263127,"USSS",2016-01-03,"AR","encouraging expenses","","","",1
111790,414349,"DOL",2016-01-03,"AR",NA,"","","",NA
74472,256784,"DEA",2016-01-03,"LA",NA,"","","",NA
64488,368786,"ICE",2016-01-03,"UT",NA,"","","",NA
32446,263126,"DEA",2016-01-03,"NM","ordinary observation","","","",1
32446,263126,"DEA",2016-01-03,"NM","single objection","","","",1
91724,363552,"DEA",2016-01-03,"MI","crawford spoke","","","",1
43709,474642,"DOL",2016-01-03,"NJ","chapter xxx","","","",1
105845,202919,"USSS",2016-01-03,"MS",NA,"","","",NA
13804,438515,"ICE",2016-01-03,"IN",NA,"","","",NA
96407,11341,"USSS",2016-01-03,"CO",NA,"","","",NA
29204,8160,"USPIS",2016-01-03,"AR",NA,"","","",NA
107117,12858,"FBI",2016-01-03,"KS","calmly continuing","","","",2
107117,12858,"FBI",2016-01-03,"KS","windy day","","","",2
101082,208016,"FBI",2016-01-03,"ME",NA,"","","",NA
149132,472979,"FBI",2016-01-03,"WV",NA,"","","",NA
56728,413095,"USSS",2016-01-03,"MI","excessively stupid","","","",1
93606,369336,"USPIS",2016-01-03,"OH",NA,"","","",NA
28295,15142,"DOL",2016-01-03,"GA","warm admiration","","","",3
117720,323773,"DEA",2016-01-03,"CA",NA,"","","",NA
21207,35048,"USSS",2016-01-03,"SC","extraordinary advantage","","","",1
21207,35048,"USSS",2016-01-03,"SC","miss crawford","","","",234
21207,35048,"USSS",2016-01-03,"SC","body's performance","","","",1
82622,380716,"IRS",2016-01-03,"CT",NA,"","","",NA
119576,31246,"ATF",2016-01-03,"MO",NA,"","","",NA
64022,173478,"FBI",2016-01-03,"IN",NA,"","","",NA
50478,431669,"IRS",2016-01-03,"IN","common concern","","","",2
50478,431669,"IRS",2016-01-03,"IN","pleasantly detained","","","",2
50478,431669,"IRS",2016-01-03,"IN","judicious law","","","",2
21549,173289,"FBI",2016-01-03,"NJ","lieut fairfax","","","",1
9563,430580,"USSS",2016-01-03,"TN","crawford occasioned","","","",1
28608,437233,"IRS",2016-01-03,"SD","partially revived","","","",1
114467,13689,"ATF",2016-01-03,"VA","gentleman's carriage","","","",2
113108,178256,"DOL",2016-01-03,"CO",NA,"","","",NA
14202,332227,"USPIS",2016-01-03,"NE",NA,"","","",NA
60271,91903,"ATF",2016-01-03,"IN",NA,"","","",NA
60638,277458,"ICE",2016-01-03,"SD",NA,"","","",NA
26456,224516,"ATF",2016-01-03,"MI","equal degrees","","","",2
114096,487170,"DEA",2016-01-03,"IL","lucky occurrence","","","",1
18227,143691,"DEA",2016-01-03,"ND","head leaning","","","",2
139312,177985,"FBI",2016-01-03,"CT","delightful assurance","","","",1
139312,177985,"FBI",2016-01-03,"CT","morland's account","","","",1
139312,177985,"FBI",2016-01-03,"CT","observed charles","","","",1
30615,416828,"ATF",2016-01-03,"CO",NA,"","","",NA
101710,221133,"ICE",2016-01-03,"AL","wentworth coming","","","",1
114180,216838,"FBI",2016-01-03,"MT","convinced miss","","","",3
114180,216838,"FBI",2016-01-03,"MT","bringing matters","","","",1
81463,313902,"ATF",2016-01-03,"LA","frequent attention","","","",1
81463,313902,"ATF",2016-01-03,"LA","isabella james","","","",2
149589,312694,"USSS",2016-01-03,"TN","bertram's engagement","","","",1
117941,446431,"FBI",2016-01-03,"OK",NA,"","","",NA
23410,467813,"USPIS",2016-01-03,"NY","john's satisfaction","","","",1
41922,363192,"ICE",2016-01-03,"TN","woman _doubts_","","","",1
11117,221931,"ATF",2016-01-03,"UT",NA,"","","",NA
42297,64340,"USSS",2016-01-03,"HI","harriet's claims","","","",2
42297,64340,"USSS",2016-01-03,"HI","morning deprived","","","",1
47070,92778,"DOL",2016-01-03,"ID",NA,"","","",NA
21608,164212,"DOL",2016-01-03,"GA",NA,"","","",NA
115218,245597,"DEA",2016-01-03,"HI","hurried manner","","","",4
115218,245597,"DEA",2016-01-03,"HI","marry fanny","","","",2
104083,196121,"DEA",2016-01-04,"WY","people's engagement","","","",1
68684,362496,"USPIS",2016-01-04,"OK",NA,"","","",NA
85822,139821,"DEA",2016-01-04,"MT","speedily formed","","","",2
